,stim,S,R,RT,block,day,cond
157,soum,N,-1,-1,1,1,single
158,sanctity,W,-1,-1,1,1,single
159,efficacy,W,-1,-1,1,1,single
160,ceta,N,-1,-1,1,1,single
161,sever,W,-1,-1,1,1,single
162,tracing,W,-1,-1,1,1,single
163,sict,N,-1,-1,1,1,single
164,avid,W,-1,-1,1,1,single
165,venerable,W,-1,-1,1,1,single
166,ixobirenci,N,-1,-1,1,1,single
167,sombre,P,-1,-1,1,1,single
168,terrified,W,-1,-1,1,1,single
169,reticence,W,-1,-1,1,1,single
170,graft,W,-1,-1,1,1,single
171,cleng,N,-1,-1,1,1,single
172,finnuast,N,-1,-1,1,1,single
173,dacancy,N,-1,-1,1,1,single
174,imesi,N,-1,-1,1,1,single
175,stulk,N,-1,-1,1,1,single
176,herp,N,-1,-1,1,1,single
177,sombre,P,-1,-1,1,1,single
178,alaqaont,N,-1,-1,1,1,single
179,serenity,W,-1,-1,1,1,single
180,chalice,W,-1,-1,1,1,single
181,lateral,W,-1,-1,1,1,single
182,pirdun,N,-1,-1,1,1,single
183,pamphlet,W,-1,-1,1,1,single
184,roster,W,-1,-1,1,1,single
185,urrutuc,N,-1,-1,1,1,single
186,ibsarptuun,N,-1,-1,1,1,single
187,oblige,W,-1,-1,1,1,single
188,cosmetic,W,-1,-1,1,1,single
189,choked,W,-1,-1,1,1,single
190,rouse,W,-1,-1,1,1,single
191,sombre,P,-1,-1,1,1,single
192,cubic,W,-1,-1,1,1,single
193,greavu,N,-1,-1,1,1,single
194,rofanang,N,-1,-1,1,1,single
195,fetarustoc,N,-1,-1,1,1,single
196,epucolypsa,N,-1,-1,1,1,single
197,bilgeng,N,-1,-1,1,1,single
198,flomsy,N,-1,-1,1,1,single
199,sebur,N,-1,-1,1,1,single
200,plump,W,-1,-1,1,1,single
201,flee,W,-1,-1,1,1,single
202,flamboyant,W,-1,-1,1,1,single
203,virtuosity,W,-1,-1,1,1,single
204,kiosk,W,-1,-1,1,1,single
205,sombre,P,-1,-1,1,1,single
206,educating,W,-1,-1,1,1,single
207,crowl,N,-1,-1,1,1,single
208,stuid,N,-1,-1,1,1,single
209,glide,W,-1,-1,1,1,single
210,ansugnuu,N,-1,-1,1,1,single
211,puku,N,-1,-1,1,1,single
212,havoc,W,-1,-1,1,1,single
213,sombre,P,-1,-1,1,1,single
214,ansurt,N,-1,-1,1,1,single
215,scuba,W,-1,-1,1,1,single
216,purudex,N,-1,-1,1,1,single
217,taosi,N,-1,-1,1,1,single
218,convey,W,-1,-1,1,1,single
219,emulate,W,-1,-1,1,1,single
220,cemplucito,N,-1,-1,1,1,single
221,motrex,N,-1,-1,1,1,single
222,bottling,W,-1,-1,1,1,single
223,pitiful,W,-1,-1,1,1,single
224,egnurint,N,-1,-1,1,1,single
225,ompissobly,N,-1,-1,1,1,single
226,ogeluty,N,-1,-1,1,1,single
227,dodge,W,-1,-1,1,1,single
228,remnant,W,-1,-1,1,1,single
229,cimmonul,N,-1,-1,1,1,single
230,onfirour,N,-1,-1,1,1,single
231,hypocrisy,W,-1,-1,1,1,single
232,friction,W,-1,-1,1,1,single
233,psychootry,N,-1,-1,1,1,single
234,slipa,N,-1,-1,1,1,single
235,irritation,W,-1,-1,1,1,single
236,sombre,P,-1,-1,1,1,single
237,wunk,N,-1,-1,1,1,single
238,resumption,W,-1,-1,1,1,single
239,sanguine,W,-1,-1,1,1,single
240,ollurgoc,N,-1,-1,1,1,single
241,hezy,N,-1,-1,1,1,single
242,osibla,N,-1,-1,1,1,single
243,formative,W,-1,-1,1,1,single
244,gummock,N,-1,-1,1,1,single
245,ulgiu,N,-1,-1,1,1,single
246,soak,W,-1,-1,1,1,single
247,cempilsean,N,-1,-1,1,1,single
248,crutoruin,N,-1,-1,1,1,single
249,debacle,W,-1,-1,1,1,single
250,goald,N,-1,-1,1,1,single
251,proy,N,-1,-1,1,1,single
252,ballad,W,-1,-1,1,1,single
253,tattoo,W,-1,-1,1,1,single
254,resilience,W,-1,-1,1,1,single
255,lakong,N,-1,-1,1,1,single
256,sombre,P,-1,-1,1,1,single
257,beacon,W,-1,-1,1,1,single
258,jabeloa,N,-1,-1,1,1,single
259,purch,N,-1,-1,1,1,single
260,dasturt,N,-1,-1,1,1,single
261,andirsung,N,-1,-1,1,1,single
262,cushion,W,-1,-1,1,1,single
263,responsive,W,-1,-1,1,1,single
264,futility,W,-1,-1,1,1,single
265,slecung,N,-1,-1,1,1,single
266,rubut,N,-1,-1,1,1,single
267,rian,N,-1,-1,1,1,single
268,sombre,P,-1,-1,1,1,single
269,tram,W,-1,-1,1,1,single
270,emblem,W,-1,-1,1,1,single
271,peusa,N,-1,-1,1,1,single
272,spaun,N,-1,-1,1,1,single
273,swear,W,-1,-1,1,1,single
274,pilpiblo,N,-1,-1,1,1,single
275,pray,W,-1,-1,1,1,single
276,faltritoan,N,-1,-1,1,1,single
277,steva,N,-1,-1,1,1,single
278,fruight,N,-1,-1,1,1,single
279,trombone,W,-1,-1,1,1,single
280,wept,W,-1,-1,1,1,single
281,pergola,W,-1,-1,1,1,single
282,varb,N,-1,-1,1,1,single
283,axtaraar,N,-1,-1,1,1,single
284,ordeal,W,-1,-1,1,1,single
285,sombre,P,-1,-1,1,1,single
286,decay,W,-1,-1,1,1,single
287,dispel,W,-1,-1,1,1,single
288,tondim,N,-1,-1,1,1,single
289,slack,W,-1,-1,1,1,single
290,gruit,N,-1,-1,1,1,single
291,elter,N,-1,-1,1,1,single
292,antullact,N,-1,-1,1,1,single
293,chusal,N,-1,-1,1,1,single
294,slash,W,-1,-1,1,1,single
295,glacier,W,-1,-1,1,1,single
296,evurt,N,-1,-1,1,1,single
297,shone,W,-1,-1,1,1,single
298,amplified,W,-1,-1,1,1,single
299,sombre,P,-1,-1,1,1,single
300,ontacu,N,-1,-1,1,1,single
301,iqiop,N,-1,-1,1,1,single
302,entice,W,-1,-1,1,1,single
303,rondizvaes,N,-1,-1,1,1,single
304,shony,N,-1,-1,1,1,single
305,uppuusa,N,-1,-1,1,1,single
306,acrimony,W,-1,-1,1,1,single
307,dulogont,N,-1,-1,1,1,single
308,otteen,N,-1,-1,1,1,single
309,charade,W,-1,-1,1,1,single
310,sombre,P,-1,-1,1,1,single
311,suspend,W,-1,-1,1,1,single
312,emmecilota,N,-1,-1,1,1,single
313,groom,W,-1,-1,1,1,single
314,lebol,N,-1,-1,1,1,single
315,mayhem,W,-1,-1,1,1,single
316,comprehend,W,-1,-1,1,1,single
317,contour,W,-1,-1,1,1,single
318,fissul,N,-1,-1,1,1,single
319,cretaqea,N,-1,-1,1,1,single
320,melt,W,-1,-1,1,1,single
321,exterior,W,-1,-1,1,1,single
322,luma,N,-1,-1,1,1,single
323,nofty,N,-1,-1,1,1,single
324,conjure,W,-1,-1,1,1,single
325,sombre,P,-1,-1,1,1,single
326,scent,W,-1,-1,1,1,single
327,brace,W,-1,-1,1,1,single
328,wraight,N,-1,-1,1,1,single
329,kottlu,N,-1,-1,1,1,single
330,feeble,W,-1,-1,1,1,single
331,mystuqao,N,-1,-1,1,1,single
332,binegn,N,-1,-1,1,1,single
333,bohost,N,-1,-1,1,1,single
334,dori,N,-1,-1,1,1,single
335,coherent,W,-1,-1,1,1,single
336,rumble,W,-1,-1,1,1,single
337,tussle,W,-1,-1,1,1,single
338,eodebli,N,-1,-1,1,1,single
339,polatti,N,-1,-1,1,1,single
340,presume,W,-1,-1,1,1,single
341,litant,N,-1,-1,1,1,single
342,sequel,W,-1,-1,1,1,single
343,sombre,P,-1,-1,1,1,single
344,plistor,N,-1,-1,1,1,single
345,nylin,N,-1,-1,1,1,single
346,ovesean,N,-1,-1,1,1,single
347,bullid,N,-1,-1,1,1,single
348,laosh,N,-1,-1,1,1,single
349,shudder,W,-1,-1,1,1,single
350,dental,W,-1,-1,1,1,single
351,qauntafy,N,-1,-1,1,1,single
352,symmetry,W,-1,-1,1,1,single
353,obindunt,N,-1,-1,1,1,single
354,renovating,W,-1,-1,1,1,single
355,cattir,N,-1,-1,1,1,single
356,sombre,P,-1,-1,1,1,single
357,collateral,W,-1,-1,1,1,single
358,intellect,W,-1,-1,1,1,single
359,holistic,W,-1,-1,1,1,single
360,canvant,N,-1,-1,1,1,single
361,munuc,N,-1,-1,1,1,single
362,crept,W,-1,-1,1,1,single
363,medalo,N,-1,-1,1,1,single
364,hamulaitu,N,-1,-1,1,1,single
365,faasty,N,-1,-1,1,1,single
366,cruosu,N,-1,-1,1,1,single
367,abolish,W,-1,-1,1,1,single
368,shody,N,-1,-1,1,1,single
369,grompy,N,-1,-1,1,1,single
370,indicative,W,-1,-1,1,1,single
371,squeezing,W,-1,-1,1,1,single
372,siceler,N,-1,-1,1,1,single
373,sombre,P,-1,-1,1,1,single
374,bannat,N,-1,-1,1,1,single
375,egeny,N,-1,-1,1,1,single
376,proaseng,N,-1,-1,1,1,single
377,povang,N,-1,-1,1,1,single
378,license,W,-1,-1,1,1,single
379,cradle,W,-1,-1,1,1,single
380,huvec,N,-1,-1,1,1,single
381,sombre,P,-1,-1,1,1,single
382,vantage,W,-1,-1,1,1,single
383,shrapnel,W,-1,-1,1,1,single
384,iprin,N,-1,-1,1,1,single
385,deserving,W,-1,-1,1,1,single
386,stitoto,N,-1,-1,1,1,single
387,ditramont,N,-1,-1,1,1,single
388,fleki,N,-1,-1,1,1,single
389,shabby,W,-1,-1,1,1,single
390,umeganung,N,-1,-1,1,1,single
391,forlorn,W,-1,-1,1,1,single
392,serene,W,-1,-1,1,1,single
393,expel,W,-1,-1,1,1,single
394,purse,W,-1,-1,1,1,single
395,testified,W,-1,-1,1,1,single
396,pribitain,N,-1,-1,1,1,single
397,scarn,N,-1,-1,1,1,single
398,inexorably,W,-1,-1,1,1,single
399,bracing,W,-1,-1,1,1,single
400,sombre,P,-1,-1,1,1,single
401,thermal,W,-1,-1,1,1,single
402,banjo,W,-1,-1,1,1,single
403,malice,W,-1,-1,1,1,single
404,meustiri,N,-1,-1,1,1,single
