,stim,S,R,RT,block,day,cond
110,deodorant,W,-1,-1,1,2,multi
111,dovarsufy,N,-1,-1,1,2,multi
112,dissident,P,-1,-1,1,2,multi
113,emanating,W,-1,-1,1,2,multi
114,epitome,W,-1,-1,1,2,multi
115,cyclocol,N,-1,-1,1,2,multi
116,primitive,W,-1,-1,1,2,multi
117,geeso,N,-1,-1,1,2,multi
118,sketch,W,-1,-1,1,2,multi
119,tolerant,W,-1,-1,1,2,multi
120,spur,W,-1,-1,1,2,multi
121,pave,W,-1,-1,1,2,multi
122,dask,N,-1,-1,1,2,multi
123,needle,W,-1,-1,1,2,multi
124,parole,W,-1,-1,1,2,multi
125,birberec,N,-1,-1,1,2,multi
126,appraisal,W,-1,-1,1,2,multi
127,choet,N,-1,-1,1,2,multi
128,ullovuutu,N,-1,-1,1,2,multi
129,diat,N,-1,-1,1,2,multi
130,veechor,N,-1,-1,1,2,multi
131,attribute,W,-1,-1,1,2,multi
132,hasty,W,-1,-1,1,2,multi
133,shiny,W,-1,-1,1,2,multi
134,privelonca,N,-1,-1,1,2,multi
135,ditch,P,-1,-1,1,2,multi
136,deprive,W,-1,-1,1,2,multi
137,ducurotu,N,-1,-1,1,2,multi
138,grate,W,-1,-1,1,2,multi
139,pier,W,-1,-1,1,2,multi
140,magnet,W,-1,-1,1,2,multi
141,melody,W,-1,-1,1,2,multi
142,prudence,W,-1,-1,1,2,multi
143,scom,N,-1,-1,1,2,multi
144,muntla,N,-1,-1,1,2,multi
145,shuet,N,-1,-1,1,2,multi
146,conclusive,W,-1,-1,1,2,multi
147,nutafaod,N,-1,-1,1,2,multi
148,gigantic,W,-1,-1,1,2,multi
149,roam,P,-1,-1,1,2,multi
150,siccenct,N,-1,-1,1,2,multi
151,stumble,W,-1,-1,1,2,multi
152,persuading,W,-1,-1,1,2,multi
153,ixcorsean,N,-1,-1,1,2,multi
154,psychiatry,W,-1,-1,1,2,multi
155,analytical,W,-1,-1,1,2,multi
156,omaobla,N,-1,-1,1,2,multi
157,tulorint,N,-1,-1,1,2,multi
158,distort,W,-1,-1,1,2,multi
159,dissident,P,-1,-1,1,2,multi
160,moduecru,N,-1,-1,1,2,multi
161,nought,W,-1,-1,1,2,multi
162,grevul,N,-1,-1,1,2,multi
163,flup,N,-1,-1,1,2,multi
164,rattling,W,-1,-1,1,2,multi
165,solitude,W,-1,-1,1,2,multi
166,speculate,W,-1,-1,1,2,multi
167,cenvuy,N,-1,-1,1,2,multi
168,slupt,N,-1,-1,1,2,multi
169,bluff,W,-1,-1,1,2,multi
170,lenan,N,-1,-1,1,2,multi
171,abrupt,W,-1,-1,1,2,multi
172,embagoaty,N,-1,-1,1,2,multi
173,pastereng,N,-1,-1,1,2,multi
174,snare,W,-1,-1,1,2,multi
175,ibleqoo,N,-1,-1,1,2,multi
176,aurora,W,-1,-1,1,2,multi
177,faul,N,-1,-1,1,2,multi
178,agile,W,-1,-1,1,2,multi
179,ditch,P,-1,-1,1,2,multi
180,ridoitaen,N,-1,-1,1,2,multi
181,maturing,W,-1,-1,1,2,multi
182,refute,W,-1,-1,1,2,multi
183,natch,N,-1,-1,1,2,multi
184,pradancu,N,-1,-1,1,2,multi
185,calluturol,N,-1,-1,1,2,multi
186,libel,W,-1,-1,1,2,multi
187,psychu,N,-1,-1,1,2,multi
188,sufu,N,-1,-1,1,2,multi
189,persi,N,-1,-1,1,2,multi
190,sarmun,N,-1,-1,1,2,multi
191,liking,W,-1,-1,1,2,multi
192,enurtao,N,-1,-1,1,2,multi
193,dissident,P,-1,-1,1,2,multi
194,malliw,N,-1,-1,1,2,multi
195,gosh,W,-1,-1,1,2,multi
196,modify,W,-1,-1,1,2,multi
197,mergoo,N,-1,-1,1,2,multi
198,treci,N,-1,-1,1,2,multi
199,smear,W,-1,-1,1,2,multi
200,tuvurn,N,-1,-1,1,2,multi
201,iwuki,N,-1,-1,1,2,multi
202,chisel,W,-1,-1,1,2,multi
203,gluttir,N,-1,-1,1,2,multi
204,disrupt,W,-1,-1,1,2,multi
205,twilight,W,-1,-1,1,2,multi
206,giggle,W,-1,-1,1,2,multi
207,volt,W,-1,-1,1,2,multi
208,d,P,-1,-1,1,2,multi
209,jubilee,W,-1,-1,1,2,multi
210,requiem,W,-1,-1,1,2,multi
211,datir,N,-1,-1,1,2,multi
212,cardigan,W,-1,-1,1,2,multi
213,gagentec,N,-1,-1,1,2,multi
214,ducuy,N,-1,-1,1,2,multi
215,chird,N,-1,-1,1,2,multi
216,endurance,W,-1,-1,1,2,multi
217,testify,P,-1,-1,1,2,multi
218,flip,W,-1,-1,1,2,multi
219,mecebro,N,-1,-1,1,2,multi
220,futuristic,W,-1,-1,1,2,multi
221,uccilidi,N,-1,-1,1,2,multi
222,elligi,N,-1,-1,1,2,multi
223,rink,W,-1,-1,1,2,multi
224,evaluating,W,-1,-1,1,2,multi
225,virafy,N,-1,-1,1,2,multi
226,gospel,W,-1,-1,1,2,multi
227,plentiful,W,-1,-1,1,2,multi
228,vertoasuty,N,-1,-1,1,2,multi
229,perch,W,-1,-1,1,2,multi
230,arcane,W,-1,-1,1,2,multi
231,vigil,W,-1,-1,1,2,multi
232,tavern,W,-1,-1,1,2,multi
233,stob,N,-1,-1,1,2,multi
234,treongli,N,-1,-1,1,2,multi
235,complicate,W,-1,-1,1,2,multi
236,immaculate,W,-1,-1,1,2,multi
237,stion,N,-1,-1,1,2,multi
238,gawn,N,-1,-1,1,2,multi
239,testify,P,-1,-1,1,2,multi
240,preach,W,-1,-1,1,2,multi
241,nucetana,N,-1,-1,1,2,multi
242,conil,N,-1,-1,1,2,multi
243,pemphlat,N,-1,-1,1,2,multi
244,turbulence,W,-1,-1,1,2,multi
245,sermon,W,-1,-1,1,2,multi
246,sect,W,-1,-1,1,2,multi
247,baum,N,-1,-1,1,2,multi
248,psyche,W,-1,-1,1,2,multi
249,ollicotong,N,-1,-1,1,2,multi
250,shuffle,P,-1,-1,1,2,multi
251,porechotu,N,-1,-1,1,2,multi
252,debatable,W,-1,-1,1,2,multi
253,bandla,N,-1,-1,1,2,multi
254,grieving,W,-1,-1,1,2,multi
255,absorption,W,-1,-1,1,2,multi
256,locate,W,-1,-1,1,2,multi
257,plotaea,N,-1,-1,1,2,multi
258,abiding,W,-1,-1,1,2,multi
259,smeg,N,-1,-1,1,2,multi
260,seur,N,-1,-1,1,2,multi
261,canal,W,-1,-1,1,2,multi
262,stibaleso,N,-1,-1,1,2,multi
263,dessedint,N,-1,-1,1,2,multi
264,livelihood,W,-1,-1,1,2,multi
265,cempruhind,N,-1,-1,1,2,multi
266,lecturing,W,-1,-1,1,2,multi
267,optimum,W,-1,-1,1,2,multi
268,caveat,W,-1,-1,1,2,multi
269,poraty,N,-1,-1,1,2,multi
270,stant,N,-1,-1,1,2,multi
271,roam,P,-1,-1,1,2,multi
272,soozo,N,-1,-1,1,2,multi
273,daogneso,N,-1,-1,1,2,multi
274,moisture,W,-1,-1,1,2,multi
275,entrasovu,N,-1,-1,1,2,multi
276,cuelar,N,-1,-1,1,2,multi
277,swom,N,-1,-1,1,2,multi
278,rubble,W,-1,-1,1,2,multi
279,astrology,W,-1,-1,1,2,multi
280,ipoqeu,N,-1,-1,1,2,multi
281,pluntefil,N,-1,-1,1,2,multi
282,imply,W,-1,-1,1,2,multi
283,varnecelor,N,-1,-1,1,2,multi
284,umplucut,N,-1,-1,1,2,multi
285,activism,W,-1,-1,1,2,multi
286,approving,W,-1,-1,1,2,multi
287,testify,P,-1,-1,1,2,multi
288,histy,N,-1,-1,1,2,multi
289,roectar,N,-1,-1,1,2,multi
290,copsalo,N,-1,-1,1,2,multi
291,consume,W,-1,-1,1,2,multi
292,cenui,N,-1,-1,1,2,multi
293,flaoncy,N,-1,-1,1,2,multi
294,strida,N,-1,-1,1,2,multi
295,sleight,W,-1,-1,1,2,multi
296,opprevung,N,-1,-1,1,2,multi
297,exuberance,P,-1,-1,1,2,multi
298,intadetu,N,-1,-1,1,2,multi
299,hurudotiry,N,-1,-1,1,2,multi
300,cologne,W,-1,-1,1,2,multi
301,slodgung,N,-1,-1,1,2,multi
302,reddlo,N,-1,-1,1,2,multi
303,slope,W,-1,-1,1,2,multi
304,valiant,W,-1,-1,1,2,multi
305,elliy,N,-1,-1,1,2,multi
306,vanish,W,-1,-1,1,2,multi
307,tandem,W,-1,-1,1,2,multi
308,latent,W,-1,-1,1,2,multi
309,whum,N,-1,-1,1,2,multi
310,deter,P,-1,-1,1,2,multi
311,vinyl,W,-1,-1,1,2,multi
312,verse,W,-1,-1,1,2,multi
313,pilyistur,N,-1,-1,1,2,multi
314,tresh,N,-1,-1,1,2,multi
315,purinuud,N,-1,-1,1,2,multi
316,abundant,W,-1,-1,1,2,multi
317,dynemuta,N,-1,-1,1,2,multi
318,purtusen,N,-1,-1,1,2,multi
319,farmotova,N,-1,-1,1,2,multi
320,rizer,N,-1,-1,1,2,multi
321,halve,W,-1,-1,1,2,multi
322,seductive,W,-1,-1,1,2,multi
323,qointom,N,-1,-1,1,2,multi
324,iaruo,N,-1,-1,1,2,multi
325,ripoil,N,-1,-1,1,2,multi
326,tarpudu,N,-1,-1,1,2,multi
327,nuisance,W,-1,-1,1,2,multi
328,storvung,N,-1,-1,1,2,multi
329,graovaos,N,-1,-1,1,2,multi
330,roam,P,-1,-1,1,2,multi
331,murry,N,-1,-1,1,2,multi
332,ovisevu,N,-1,-1,1,2,multi
333,devoid,W,-1,-1,1,2,multi
334,labarotong,N,-1,-1,1,2,multi
335,vyang,N,-1,-1,1,2,multi
336,behold,W,-1,-1,1,2,multi
337,anneunda,N,-1,-1,1,2,multi
338,frugmunt,N,-1,-1,1,2,multi
339,qairry,N,-1,-1,1,2,multi
340,advent,W,-1,-1,1,2,multi
341,diversion,W,-1,-1,1,2,multi
342,mund,N,-1,-1,1,2,multi
343,bitumen,W,-1,-1,1,2,multi
344,temper,W,-1,-1,1,2,multi
345,resemble,W,-1,-1,1,2,multi
346,ghastly,W,-1,-1,1,2,multi
347,iscipang,N,-1,-1,1,2,multi
348,checkli,N,-1,-1,1,2,multi
349,vinush,N,-1,-1,1,2,multi
350,testify,P,-1,-1,1,2,multi
351,prafecaont,N,-1,-1,1,2,multi
352,dumunosh,N,-1,-1,1,2,multi
353,doctota,N,-1,-1,1,2,multi
354,spocafy,N,-1,-1,1,2,multi
355,dintil,N,-1,-1,1,2,multi
356,horizontal,W,-1,-1,1,2,multi
357,brilliance,W,-1,-1,1,2,multi
358,avert,W,-1,-1,1,2,multi
359,antirprat,N,-1,-1,1,2,multi
360,cridli,N,-1,-1,1,2,multi
361,ensuing,W,-1,-1,1,2,multi
362,peva,N,-1,-1,1,2,multi
363,evoke,W,-1,-1,1,2,multi
364,angling,W,-1,-1,1,2,multi
365,c,P,-1,-1,1,2,multi
366,humane,W,-1,-1,1,2,multi
367,tenacity,W,-1,-1,1,2,multi
368,rittlu,N,-1,-1,1,2,multi
369,stealth,W,-1,-1,1,2,multi
370,cascade,W,-1,-1,1,2,multi
371,ditch,P,-1,-1,1,2,multi
372,stove,W,-1,-1,1,2,multi
373,dwull,N,-1,-1,1,2,multi
374,palette,W,-1,-1,1,2,multi
375,juggernaut,W,-1,-1,1,2,multi
376,apron,W,-1,-1,1,2,multi
377,chint,N,-1,-1,1,2,multi
378,stature,W,-1,-1,1,2,multi
379,cling,W,-1,-1,1,2,multi
380,umpiring,W,-1,-1,1,2,multi
381,diagram,W,-1,-1,1,2,multi
382,sebtly,N,-1,-1,1,2,multi
383,facade,W,-1,-1,1,2,multi
384,schadeleng,N,-1,-1,1,2,multi
385,bembue,N,-1,-1,1,2,multi
386,grieve,W,-1,-1,1,2,multi
387,anomaly,W,-1,-1,1,2,multi
388,callepseng,N,-1,-1,1,2,multi
389,caligna,N,-1,-1,1,2,multi
390,laft,N,-1,-1,1,2,multi
391,onset,W,-1,-1,1,2,multi
392,convent,W,-1,-1,1,2,multi
393,ditch,P,-1,-1,1,2,multi
394,trolluen,N,-1,-1,1,2,multi
395,coffin,W,-1,-1,1,2,multi
396,rattle,W,-1,-1,1,2,multi
397,evolving,W,-1,-1,1,2,multi
398,guspol,N,-1,-1,1,2,multi
399,domaoneer,N,-1,-1,1,2,multi
400,intuition,W,-1,-1,1,2,multi
401,posh,W,-1,-1,1,2,multi
402,diligent,W,-1,-1,1,2,multi
403,abject,W,-1,-1,1,2,multi
404,default,W,-1,-1,1,2,multi
405,nidgu,N,-1,-1,1,2,multi
406,litter,W,-1,-1,1,2,multi
407,a,P,-1,-1,1,2,multi
408,chamnoy,N,-1,-1,1,2,multi
409,vanorubla,N,-1,-1,1,2,multi
410,paranoid,W,-1,-1,1,2,multi
411,flare,W,-1,-1,1,2,multi
412,pangant,N,-1,-1,1,2,multi
413,inferno,W,-1,-1,1,2,multi
414,wreck,W,-1,-1,1,2,multi
415,b,P,-1,-1,1,2,multi
416,rein,W,-1,-1,1,2,multi
417,lall,N,-1,-1,1,2,multi
418,defunct,W,-1,-1,1,2,multi
419,tistufaud,N,-1,-1,1,2,multi
420,erchova,N,-1,-1,1,2,multi
421,poasong,N,-1,-1,1,2,multi
422,statute,W,-1,-1,1,2,multi
423,terbalont,N,-1,-1,1,2,multi
424,triangle,W,-1,-1,1,2,multi
425,chapel,W,-1,-1,1,2,multi
426,dosraptevu,N,-1,-1,1,2,multi
427,opaque,W,-1,-1,1,2,multi
428,matrix,W,-1,-1,1,2,multi
429,stivu,N,-1,-1,1,2,multi
430,macabre,W,-1,-1,1,2,multi
431,doprevu,N,-1,-1,1,2,multi
432,pirch,N,-1,-1,1,2,multi
433,phabau,N,-1,-1,1,2,multi
434,dafuelt,N,-1,-1,1,2,multi
435,deter,P,-1,-1,1,2,multi
436,plosh,N,-1,-1,1,2,multi
437,stombli,N,-1,-1,1,2,multi
438,durment,N,-1,-1,1,2,multi
439,rebuke,W,-1,-1,1,2,multi
440,chakod,N,-1,-1,1,2,multi
441,vengeance,W,-1,-1,1,2,multi
442,kednip,N,-1,-1,1,2,multi
443,arson,W,-1,-1,1,2,multi
444,heex,N,-1,-1,1,2,multi
445,bump,W,-1,-1,1,2,multi
446,iexeloiry,N,-1,-1,1,2,multi
447,ollagoonca,N,-1,-1,1,2,multi
448,craach,N,-1,-1,1,2,multi
449,navigation,W,-1,-1,1,2,multi
450,shuffle,P,-1,-1,1,2,multi
451,kerutu,N,-1,-1,1,2,multi
452,cassotaan,N,-1,-1,1,2,multi
453,nimble,W,-1,-1,1,2,multi
454,illicit,W,-1,-1,1,2,multi
455,morphine,W,-1,-1,1,2,multi
456,intimidate,W,-1,-1,1,2,multi
457,purge,W,-1,-1,1,2,multi
458,whim,W,-1,-1,1,2,multi
459,mult,N,-1,-1,1,2,multi
460,rofitu,N,-1,-1,1,2,multi
461,vursi,N,-1,-1,1,2,multi
462,bontar,N,-1,-1,1,2,multi
463,ravaveng,N,-1,-1,1,2,multi
464,anutaetoan,N,-1,-1,1,2,multi
465,fork,W,-1,-1,1,2,multi
466,sovvy,N,-1,-1,1,2,multi
467,deter,P,-1,-1,1,2,multi
468,mesiry,N,-1,-1,1,2,multi
469,firk,N,-1,-1,1,2,multi
470,nartori,N,-1,-1,1,2,multi
471,azunu,N,-1,-1,1,2,multi
472,samplefeid,N,-1,-1,1,2,multi
473,skad,N,-1,-1,1,2,multi
474,deter,P,-1,-1,1,2,multi
475,subscribe,W,-1,-1,1,2,multi
476,dostruct,N,-1,-1,1,2,multi
477,arcade,W,-1,-1,1,2,multi
478,refining,W,-1,-1,1,2,multi
479,sprawl,W,-1,-1,1,2,multi
480,pyramid,W,-1,-1,1,2,multi
481,roto,N,-1,-1,1,2,multi
482,tocut,N,-1,-1,1,2,multi
483,strode,W,-1,-1,1,2,multi
484,indulge,W,-1,-1,1,2,multi
485,valvut,N,-1,-1,1,2,multi
486,issart,N,-1,-1,1,2,multi
487,ultimatum,W,-1,-1,1,2,multi
488,nudge,W,-1,-1,1,2,multi
489,sembri,N,-1,-1,1,2,multi
490,rivasoen,N,-1,-1,1,2,multi
491,rosodeu,N,-1,-1,1,2,multi
492,sempleng,N,-1,-1,1,2,multi
493,shuna,N,-1,-1,1,2,multi
494,dilita,N,-1,-1,1,2,multi
495,shuffle,P,-1,-1,1,2,multi
496,acstesy,N,-1,-1,1,2,multi
497,inject,W,-1,-1,1,2,multi
498,monologue,W,-1,-1,1,2,multi
499,jestlung,N,-1,-1,1,2,multi
500,tarch,N,-1,-1,1,2,multi
501,negligent,W,-1,-1,1,2,multi
502,vesubly,N,-1,-1,1,2,multi
503,tock,N,-1,-1,1,2,multi
504,illuminate,W,-1,-1,1,2,multi
505,acronym,W,-1,-1,1,2,multi
506,gollip,N,-1,-1,1,2,multi
507,esoteric,W,-1,-1,1,2,multi
508,robot,W,-1,-1,1,2,multi
509,punitive,P,-1,-1,1,2,multi
510,scorn,W,-1,-1,1,2,multi
511,slung,W,-1,-1,1,2,multi
512,shettlo,N,-1,-1,1,2,multi
513,stead,W,-1,-1,1,2,multi
514,lettory,N,-1,-1,1,2,multi
515,lance,W,-1,-1,1,2,multi
516,spectre,W,-1,-1,1,2,multi
517,dissident,P,-1,-1,1,2,multi
518,inherit,W,-1,-1,1,2,multi
519,hysteria,W,-1,-1,1,2,multi
520,consequent,W,-1,-1,1,2,multi
521,pruspor,N,-1,-1,1,2,multi
522,omblum,N,-1,-1,1,2,multi
523,splendour,W,-1,-1,1,2,multi
524,retrospect,W,-1,-1,1,2,multi
525,shrine,W,-1,-1,1,2,multi
526,remedy,W,-1,-1,1,2,multi
527,ittuntuvi,N,-1,-1,1,2,multi
528,tontotavi,N,-1,-1,1,2,multi
529,meter,W,-1,-1,1,2,multi
530,puzzle,W,-1,-1,1,2,multi
531,diminutive,W,-1,-1,1,2,multi
532,meschouf,N,-1,-1,1,2,multi
533,slender,W,-1,-1,1,2,multi
534,dissident,P,-1,-1,1,2,multi
535,cromsun,N,-1,-1,1,2,multi
536,scribe,W,-1,-1,1,2,multi
537,pekong,N,-1,-1,1,2,multi
538,immediacy,W,-1,-1,1,2,multi
539,rictefoid,N,-1,-1,1,2,multi
540,glaring,W,-1,-1,1,2,multi
541,tractor,W,-1,-1,1,2,multi
542,raleavu,N,-1,-1,1,2,multi
543,scam,W,-1,-1,1,2,multi
544,expiry,W,-1,-1,1,2,multi
545,expanse,W,-1,-1,1,2,multi
546,espionage,W,-1,-1,1,2,multi
547,clarified,W,-1,-1,1,2,multi
548,offulaito,N,-1,-1,1,2,multi
549,tunency,N,-1,-1,1,2,multi
550,logutemucy,N,-1,-1,1,2,multi
551,relinquish,W,-1,-1,1,2,multi
552,hale,W,-1,-1,1,2,multi
553,campaleng,N,-1,-1,1,2,multi
554,soranaty,N,-1,-1,1,2,multi
555,evasion,W,-1,-1,1,2,multi
556,ditch,P,-1,-1,1,2,multi
557,datrect,N,-1,-1,1,2,multi
558,cript,N,-1,-1,1,2,multi
559,atmust,N,-1,-1,1,2,multi
560,wink,W,-1,-1,1,2,multi
561,usharu,N,-1,-1,1,2,multi
562,hypacrasy,N,-1,-1,1,2,multi
563,greet,W,-1,-1,1,2,multi
564,cintrodact,N,-1,-1,1,2,multi
565,udjictovu,N,-1,-1,1,2,multi
566,shack,W,-1,-1,1,2,multi
567,scarce,W,-1,-1,1,2,multi
568,maneceng,N,-1,-1,1,2,multi
569,greeting,W,-1,-1,1,2,multi
570,archival,W,-1,-1,1,2,multi
571,whistling,W,-1,-1,1,2,multi
572,punitive,P,-1,-1,1,2,multi
573,carenetain,N,-1,-1,1,2,multi
574,inhibit,W,-1,-1,1,2,multi
575,eduer,N,-1,-1,1,2,multi
576,giont,N,-1,-1,1,2,multi
577,beumoring,N,-1,-1,1,2,multi
578,vacate,W,-1,-1,1,2,multi
579,hamono,N,-1,-1,1,2,multi
580,mediate,W,-1,-1,1,2,multi
581,crawl,W,-1,-1,1,2,multi
582,hesitant,W,-1,-1,1,2,multi
583,eusla,N,-1,-1,1,2,multi
584,motivate,W,-1,-1,1,2,multi
585,trectuin,N,-1,-1,1,2,multi
586,guumatruc,N,-1,-1,1,2,multi
587,bult,N,-1,-1,1,2,multi
588,dreary,W,-1,-1,1,2,multi
589,chirudu,N,-1,-1,1,2,multi
590,exuberance,P,-1,-1,1,2,multi
591,gludo,N,-1,-1,1,2,multi
592,unjact,N,-1,-1,1,2,multi
593,fiddle,W,-1,-1,1,2,multi
594,cempasung,N,-1,-1,1,2,multi
595,mound,W,-1,-1,1,2,multi
596,soxiphana,N,-1,-1,1,2,multi
597,dasselva,N,-1,-1,1,2,multi
598,razor,W,-1,-1,1,2,multi
599,inference,W,-1,-1,1,2,multi
600,spetoul,N,-1,-1,1,2,multi
601,parachute,W,-1,-1,1,2,multi
602,punitive,P,-1,-1,1,2,multi
603,ruut,N,-1,-1,1,2,multi
604,erdiul,N,-1,-1,1,2,multi
605,tiluscapu,N,-1,-1,1,2,multi
606,flosh,N,-1,-1,1,2,multi
607,staunch,W,-1,-1,1,2,multi
608,tharmel,N,-1,-1,1,2,multi
609,skim,W,-1,-1,1,2,multi
610,dabot,N,-1,-1,1,2,multi
611,shave,W,-1,-1,1,2,multi
612,moltuply,N,-1,-1,1,2,multi
613,pircassaen,N,-1,-1,1,2,multi
614,mamear,N,-1,-1,1,2,multi
615,onfluct,N,-1,-1,1,2,multi
616,rapplo,N,-1,-1,1,2,multi
617,drezzli,N,-1,-1,1,2,multi
618,roam,P,-1,-1,1,2,multi
619,gallop,W,-1,-1,1,2,multi
620,antorect,N,-1,-1,1,2,multi
621,dissolve,W,-1,-1,1,2,multi
622,illiceto,N,-1,-1,1,2,multi
623,resuming,W,-1,-1,1,2,multi
624,instalment,W,-1,-1,1,2,multi
625,rectified,W,-1,-1,1,2,multi
626,trench,W,-1,-1,1,2,multi
627,cliuk,N,-1,-1,1,2,multi
628,expedition,W,-1,-1,1,2,multi
629,ficaletitu,N,-1,-1,1,2,multi
630,nemarucy,N,-1,-1,1,2,multi
631,sanction,W,-1,-1,1,2,multi
632,deter,P,-1,-1,1,2,multi
633,epil,N,-1,-1,1,2,multi
634,idvursaty,N,-1,-1,1,2,multi
635,limousine,W,-1,-1,1,2,multi
636,dwell,W,-1,-1,1,2,multi
637,audible,W,-1,-1,1,2,multi
638,blight,W,-1,-1,1,2,multi
639,unfaranco,N,-1,-1,1,2,multi
640,bulging,W,-1,-1,1,2,multi
641,clounsung,N,-1,-1,1,2,multi
642,berly,N,-1,-1,1,2,multi
643,immunity,W,-1,-1,1,2,multi
644,strovi,N,-1,-1,1,2,multi
645,beiqeot,N,-1,-1,1,2,multi
646,exuberance,P,-1,-1,1,2,multi
647,eccomeleti,N,-1,-1,1,2,multi
648,truuthlun,N,-1,-1,1,2,multi
649,sibjuctevi,N,-1,-1,1,2,multi
650,campist,N,-1,-1,1,2,multi
651,elevation,W,-1,-1,1,2,multi
652,spear,W,-1,-1,1,2,multi
653,palpable,W,-1,-1,1,2,multi
654,urcida,N,-1,-1,1,2,multi
