,stim,S,R,RT,block,day,cond
0,devote,W,-1,-1,1,2,multi
1,compost,W,-1,-1,1,2,multi
2,bunnestur,N,-1,-1,1,2,multi
3,crimson,W,-1,-1,1,2,multi
4,tisslu,N,-1,-1,1,2,multi
5,suvar,N,-1,-1,1,2,multi
6,binivilant,N,-1,-1,1,2,multi
7,exuberance,P,-1,-1,1,2,multi
8,manoeuvre,W,-1,-1,1,2,multi
9,compulsion,W,-1,-1,1,2,multi
10,omen,W,-1,-1,1,2,multi
11,shreb,N,-1,-1,1,2,multi
12,venom,W,-1,-1,1,2,multi
13,emanoty,N,-1,-1,1,2,multi
14,daul,N,-1,-1,1,2,multi
15,inteul,N,-1,-1,1,2,multi
16,explicit,W,-1,-1,1,2,multi
17,fotaloty,N,-1,-1,1,2,multi
18,ullisuin,N,-1,-1,1,2,multi
19,hastily,W,-1,-1,1,2,multi
20,melch,N,-1,-1,1,2,multi
21,senctety,N,-1,-1,1,2,multi
22,punitive,P,-1,-1,1,2,multi
23,ecstasy,W,-1,-1,1,2,multi
24,saspand,N,-1,-1,1,2,multi
25,estimating,W,-1,-1,1,2,multi
26,donating,W,-1,-1,1,2,multi
27,ribblo,N,-1,-1,1,2,multi
28,curnego,N,-1,-1,1,2,multi
29,cismatuc,N,-1,-1,1,2,multi
30,munalugao,N,-1,-1,1,2,multi
31,monument,W,-1,-1,1,2,multi
32,okun,N,-1,-1,1,2,multi
33,velafaid,N,-1,-1,1,2,multi
34,tronsmot,N,-1,-1,1,2,multi
35,pawn,W,-1,-1,1,2,multi
36,anecdote,W,-1,-1,1,2,multi
37,rulecitong,N,-1,-1,1,2,multi
38,roam,P,-1,-1,1,2,multi
39,ormuir,N,-1,-1,1,2,multi
40,mendono,N,-1,-1,1,2,multi
41,dulugoto,N,-1,-1,1,2,multi
42,sworl,N,-1,-1,1,2,multi
43,centuir,N,-1,-1,1,2,multi
44,madufy,N,-1,-1,1,2,multi
45,lothorguc,N,-1,-1,1,2,multi
46,allegiance,W,-1,-1,1,2,multi
47,dynamite,W,-1,-1,1,2,multi
48,romady,N,-1,-1,1,2,multi
49,rendezvous,W,-1,-1,1,2,multi
50,registry,W,-1,-1,1,2,multi
51,sworn,W,-1,-1,1,2,multi
52,onvidi,N,-1,-1,1,2,multi
53,huza,N,-1,-1,1,2,multi
54,reprieve,W,-1,-1,1,2,multi
55,imphotuc,N,-1,-1,1,2,multi
56,gesh,N,-1,-1,1,2,multi
57,eerie,W,-1,-1,1,2,multi
58,umberk,N,-1,-1,1,2,multi
59,onelytocol,N,-1,-1,1,2,multi
60,intricate,W,-1,-1,1,2,multi
61,shuffle,P,-1,-1,1,2,multi
62,whelst,N,-1,-1,1,2,multi
63,tralliy,N,-1,-1,1,2,multi
64,moist,W,-1,-1,1,2,multi
65,scint,N,-1,-1,1,2,multi
66,archaic,W,-1,-1,1,2,multi
67,stubborn,W,-1,-1,1,2,multi
68,lash,W,-1,-1,1,2,multi
69,graduation,W,-1,-1,1,2,multi
70,songiunu,N,-1,-1,1,2,multi
71,selpher,N,-1,-1,1,2,multi
72,indulging,W,-1,-1,1,2,multi
73,arthadaxy,N,-1,-1,1,2,multi
74,pravukong,N,-1,-1,1,2,multi
75,exuberance,P,-1,-1,1,2,multi
76,moloeso,N,-1,-1,1,2,multi
77,odhurunca,N,-1,-1,1,2,multi
78,allege,W,-1,-1,1,2,multi
79,stereotype,W,-1,-1,1,2,multi
80,defied,W,-1,-1,1,2,multi
81,umaliti,N,-1,-1,1,2,multi
82,curse,W,-1,-1,1,2,multi
83,shuffle,P,-1,-1,1,2,multi
84,firang,N,-1,-1,1,2,multi
85,lyrac,N,-1,-1,1,2,multi
86,crungo,N,-1,-1,1,2,multi
87,truce,W,-1,-1,1,2,multi
88,shebby,N,-1,-1,1,2,multi
89,protocol,W,-1,-1,1,2,multi
90,docruo,N,-1,-1,1,2,multi
91,ontannu,N,-1,-1,1,2,multi
92,collapsing,W,-1,-1,1,2,multi
93,throttle,W,-1,-1,1,2,multi
94,griuvu,N,-1,-1,1,2,multi
95,fregrinco,N,-1,-1,1,2,multi
96,clattir,N,-1,-1,1,2,multi
97,bittleng,N,-1,-1,1,2,multi
98,renovate,W,-1,-1,1,2,multi
99,punitive,P,-1,-1,1,2,multi
100,rhyma,N,-1,-1,1,2,multi
101,pirsoidung,N,-1,-1,1,2,multi
102,uvolouteng,N,-1,-1,1,2,multi
103,firtofaud,N,-1,-1,1,2,multi
104,sabsadasa,N,-1,-1,1,2,multi
105,canopy,W,-1,-1,1,2,multi
106,itinerary,W,-1,-1,1,2,multi
107,oxpury,N,-1,-1,1,2,multi
108,riesi,N,-1,-1,1,2,multi
109,derivative,W,-1,-1,1,2,multi
